会社コード,業種名,和文社名,住所,lat,lon,エリア
200007,人材派遣・業務請負,アデコ（株）,東京都千代田区霞が関３－７－１　霞が関東急ビル１１階,35.6714296,139.7447256,-
200015,コンサルティング,アーサー・ディ・リトル・ジャパン（株）,東京都港区東新橋１－５－２　汐留シティセンター３６階,35.6654972,139.7608806,-
200022,食料品卸売,アンズコフーズ（株）,東京都目黒区三田１－７－１３,35.6382158,139.713492,-
200030,電気機器卸売,日本ＡＭＤ（株）（登記社名　日本エイ・エム・ディ（株））,東京都千代田区丸の内１－８－３　丸の内トラストタワー本館１０階,35.6823799,139.7694411,大丸有
200032,電気機器卸売,ガーディアンジャパン（株）,東京都練馬区高野台２－４－３,35.744967,139.6133456,-
200033,専門店,アニエスベージャパン（株）,東京都品川区上大崎２－５２－２　新目黒東急ビル８階,35.6343141,139.7143543,-
200055,映像・音楽,（株）ワーナーミュージック・ジャパン,東京都港区六本木１－４－５　アークヒルズサウスタワー２０階,35.6656056,139.7394165,虎ノ門・六本木
200058,精密機器卸売,イー・エス・アイ・ジャパン（株）,東京都江東区高橋１４－３　盛市ビル２階,35.685734,139.7992612,-
200065,機械卸売,イースト・アジアチック・カンパニー・ジャパン（株）,東京都港区虎ノ門５－２－６　虎ノ門第２ワイコービル６階,35.6629006,139.7445659,虎ノ門・六本木
200072,新聞・出版,（株）インコム,東京都文京区関口１－２３－６　プラザ江戸川橋２階,35.7103084,139.7302763,-
200092,コンサルティング,マーサージャパン（株）,東京都港区赤坂９－７－１　ミッドタウン・タワー,35.6662315,139.7313051,虎ノ門・六本木
200117,その他卸売,エイ・ハートロッド・ジャパン（株）,東京都港区西新橋３－６－１０　マストライフ西新橋ビル８階,35.6648114,139.7518329,虎ノ門・六本木
200120,鉄鋼・金属卸売,（株）永豊ジャパン,東京都千代田区神田東松下町４３　工業ビル８階,35.6942335,139.7724364,-
200123,その他卸売,エクマン・パルプ・アンド・ペーパー（株）,東京都港区赤坂２－１６－２０　トリオ赤坂ビル３階,35.6712027,139.7382589,-
200126,コンサルティング,エゴンゼンダー（株）,東京都千代田区丸の内２－１－１　明治安田生命ビル１７階,35.6791077,139.7621731,大丸有
200166,食料品卸売,ハワイアンホースト・ジャパン（株）,東京都港区芝大門２－６－４　芝大門笹野ビル３階,35.6553961,139.753808,-
200170,機械卸売,エムティエスジャパン（株）,東京都墨田区両国３－２２－６,35.694666,139.7936894,-
200176,電気機器卸売,ボッシュセキュリティシステムズ（株）,東京都渋谷区渋谷３－６－７,35.6578609,139.705883,-
200177,その他卸売,エロフ・ハンソン（株）,東京都港区西新橋２－２－２　澤ビルディング３階,35.6677249,139.7514524,虎ノ門・六本木
200197,新聞・出版,オックスフォード大学出版局（株）,東京都港区芝４－１７－５　相鉄田町ビル３階,35.6478601,139.7514325,-
200202,情報・システム・ソフト,オートデスク（株）,東京都中央区晴海１－８－１０　晴海アイランド　トリトンスクエア　オフィスタワーＸ２４階,35.6573718,139.7827814,-
200242,貨物運送,キューネ・アンド・ナーゲル（株）,東京都江東区東陽６－３－２　イースト２１タワー１９階,35.6753038,139.815734,-
200253,総合卸売,（株）暁星ジャパン,東京都港区虎ノ門３－１１－１５　ＳＶＡＸ　ＴＴビル６階,35.6651136,139.7470421,虎ノ門・六本木
200255,繊維・衣服,ボードライダーズジャパン（株）,東京都渋谷区神宮前６－２７－８　京セラ原宿ビル２－３階,35.6664738,139.7033431,-
200268,その他卸売,クラークスジャパン（株）,東京都港区南青山３－１１－１３　新青山東急ビル,35.6663001,139.7140807,-
200283,機械,グーリング・ジャパン（株）,東京都中央区月島３－２４－５　月島ＮＲビル５階,35.6634813,139.7790865,-
200293,機械卸売,（株）ケー・エヌ・エフ・ジャパン,東京都中央区新川１－１６－１４　アクロス新川ビル　アネックス３階,35.6773031,139.7835403,-
200306,医薬品卸売,ゲルベ・ジャパン（株）,東京都千代田区麹町６－４－６　ＴＳ麹町ＢＬＤＧ．２階,35.6854606,139.7323452,-
200307,総合卸売,現代ジャパン（株）,東京都千代田区丸の内２－３－２　郵船ビル７階,35.6815166,139.7627158,大丸有
200318,化学卸売,イーストマンケミカルジャパン（株）,東京都港区元赤坂１－６－６　安全ビル１６階,35.6782343,139.7333495,-
200330,機械卸売,カミンズジャパン（株）,東京都港区海岸１－１６－１　ニューピア竹芝サウスタワー１５階,35.6534029,139.7625892,-
200351,精密機器卸売,カボデンタルシステムズ（株）,東京都品川区北品川４－７－３５　御殿山トラストタワー１５階,35.6221677,139.7370215,-
200359,精密機器卸売,エンドレスハウザージャパン（株）,東京都府中市日新町５－７０－３,35.6708007,139.4380384,-
200376,化学,サンアプロ（株）,東京都港区西新橋１－１－１　フォートタワー２４階,35.6701293,139.7529282,虎ノ門・六本木
200395,食料品卸売,（株）オービーアイシーフーズ,東京都中央区築地３－９－１０　築地ビル８階,35.6680762,139.7729011,-
200398,機械,キャメロンジャパン（株）,東京都中央区日本橋３－３－９　メルクロスビル６階,35.6800279,139.7717175,日八京
200406,電気機器卸売,日本シーゲイト（株）,東京都品川区東品川２－５－８　天王洲パークサイドビル３階,35.6211071,139.7504171,-
200412,機械卸売,シー・テー・高橋（株）,東京都台東区台東４－２９－８　こうしんビル７階,35.7072525,139.7782078,-
200421,化学,ローム・アンド・ハース電子材料（株）,東京都千代田区永田町２－１１－１　山王パークタワー,35.6733558,139.7403363,-
