会社コード,業種名,和文社名,住所,lat,lon
224519,情報・システム・ソフト,ＩＨＳマークイットジャパン合同会社,東京都中央区京橋３－１－１　東京スクエアガーデン１２階,35.6760575,139.768882
224557,電気機器卸売,セムテック・ジャパン合同会社,東京都中央区京橋３－７－５,35.6756561,139.7704542
225044,その他卸売,日本グッドイヤー（株）,東京都港区赤坂１－９－１３　三会堂ビル３階,35.6697898,139.7441678
225057,その他卸売,スリーエムジャパン（株）,東京都品川区北品川６－７－２９,35.6237883,139.7338705
225071,化学,ＤＳＬ．ジャパン（株）,東京都新宿区西新宿２－３－１　新宿モノリス１２階,35.6886159,139.6945675
225072,他サービス,ティーペック（株）,東京都台東区上野５－６－１０　ＨＦ上野ビル,35.7039464,139.7755517
225119,医薬品,パレクセル・インターナショナル（株）,東京都中央区新川１－２１－２　茅場町タワー１３階,35.6770632,139.7858972
360165,貸金・信販・カード,（株）東京スター・ビジネス・ファイナンス,東京都新宿区西新宿２－７－１　小田急第一生命ビル１０階,35.6915156,139.6913635
380006,証券,シティグループ・ジャパン・ホールディングス合同会社,東京都千代田区大手町１－１－１　大手町パークビルディング,35.6866068,139.7628234
381175,電気機器卸売,ｄｔｓ　Ｊａｐａｎ（株）,東京都千代田区丸の内１－８－１　丸の内トラストタワーＮ館１２階,35.6832253,139.7697606
392553,他小売,インビザライン・ジャパン（株）,東京都品川区上大崎３－１－１,35.6335701,139.7162097
392559,コンサルティング,クロール（株）,東京都千代田区内幸町２－２－２　富国生命ビル２２階,35.6705752,139.7553851
392600,損害保険,Ｃｈｕｂｂ少額短期保険（株）,東京都品川区北品川６－７－２９　ガーデンシティ品川御殿山,35.6239862,139.7333701
392642,化学卸売,ロックウッドリチウムジャパン（株）,東京都港区赤坂７－１－１　青山安田ビル１１階,35.6744716,139.7306754
392680,その他卸売,フィッシャー・ジャパン（株）,東京都千代田区九段南３－４－１５　プロンテ九段ビル３階,35.6922513,139.7420303
392706,情報・システム・ソフト,ニュータッチイノベーション（株）,東京都港区芝１－９－３　芝マツラビル４階,35.6514562,139.7550235
392841,旅行,（株）ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,東京都新宿区新宿２－３－１５　大橋御苑ビル,35.6889481,139.7083298
402862,情報・システム・ソフト,Ｓａｓｋｅｎ　Ｔｅｃｈｎｏｌｏｇｉｅｓ　Ｌｔｄ．（日本支社）,東京都港区港南２－１５－１　品川インターシティＡ棟２８階,35.627518,139.7420043
