会社コード,業種名,和文社名,住所,lat,lon,エリア
222368,他サービス,テュフズードオータマ（株）,東京都稲城市押立１７４４－９５,35.6465438,139.5190612,-
220843,情報・システム・ソフト,メダシス・ジャパン（株）,東京都稲城市東長沼２１２０－６－１０１,35.6377586,139.5021243,-
202207,食料品卸売,日本マレット（株）,東京都葛飾区堀切４－６６－１　ミヨシ油脂（株）内,35.7496913,139.8227802,-
222361,機械卸売,フリスタン・ポンプ・ジャパン（株）,東京都江戸川区松江５－１１－７,35.6897746,139.8693085,-
380960,精密機器卸売,（株）ハイテックマルチプレックスジャパン,東京都江戸川区西小岩１－３０－１０　１階,35.7356651,139.8839349,-
403144,他サービス,ベルフォアジャパン（株）,東京都江戸川区臨海町３－６－４　ＢＥＣビル５階,35.6465979,139.8689661,-
4710,他サービス,インターテック　テスティング　サーヴィセスジャパン（株）,東京都江東区永代２－３１－１　ＣＯＩ永代ビル,35.6737911,139.792292,-
220751,他サービス,（株）コダック情報システムズ,東京都江東区牡丹１－１４－１　ＫＤＸ門前仲町ビル,35.6708899,139.7936875,-
101022,電気機器卸売,ワゴジャパン（株）,東京都江東区亀戸１－５－７　日鐵ＮＤタワー４階,35.6952738,139.8202639,-
6750,その他卸売,メリタジャパン（株）,東京都江東区亀戸２－２６－１０　立花亀戸ビル６階,35.6987089,139.8251786,-
410162,コンサルティング,スマートパートナーズ（株）,東京都江東区高橋７－５　薄羽ビル,35.6850744,139.8001902,-
4900,電気機器,日本アジャックス・マグネサーミック（株）,東京都江東区新砂１－６－３５　Ｎビル東陽町,35.6676832,139.8233398,-
7740,医薬品,日本メジフィジックス（株）,東京都江東区新砂３－４－１０,35.66424,139.8361181,-
208473,機械卸売,ハウニ・ジャパン（株）,東京都江東区新木場１－８－１０　深和ビル,35.6464699,139.834933,-
392520,繊維・衣服卸売,（株）ルービーズジャパン,東京都江東区新木場２－１５－１４,35.6391989,139.821641,-
209070,機械卸売,スナップオン・ツールズ（株）,東京都江東区新木場２－１－６,35.6408198,139.8233598,-
210074,他製造業,フォトビションジャパン（株）,東京都江東区新木場２－２－９,35.6418672,139.8251589,-
207158,化学,ジャパンカーボライン（株）,東京都江東区深川１－１－５　和倉ビル,35.6746383,139.7957451,-
100730,鉄鋼・金属卸売,日本五金鉱産（株）,東京都江東区深川２－７－１５,35.6747124,139.7971445,-
222176,精密機器卸売,（株）日本ローパー,東京都江東区深川２－８－１９　サクライビル１階,35.6749219,139.7978427,-
